,platform
1,Android
2,Arcade
3,Atari 2600
4,Atari 5200
5,Commodore 64/128
6,Dreamcast
7,Dreamcast VMU
8,DVD / HD Video Game
9,Game Boy
10,Game Boy Advance
11,Game Boy Color
12,Game.Com
13,GameCube
14,Genesis
15,iPad
16,iPhone
17,iPod
18,Linux
19,Lynx
20,Macintosh
21,Master System
22,N-Gage
23,NeoGeo
24,NeoGeo Pocket Color
25,NES
26,New Nintendo 3DS
27,Nintendo 3DS
28,Nintendo 64
29,Nintendo 64DD
30,Nintendo DS
31,Nintendo DSi
32,Ouya
33,PC
34,PlayStation
35,PlayStation 2
36,PlayStation 3
37,PlayStation 4
38,PlayStation Portable
39,PlayStation Vita
40,Pocket PC
41,Saturn
42,Sega 32X
43,Sega CD
44,SteamOS
45,Super NES
46,TurboGrafx-16
47,TurboGrafx-CD
48,Vectrex
49,Web Games
50,Wii
51,Wii U
52,Windows Phone
53,Windows Surface
54,Wireless
55,WonderSwan
56,WonderSwan Color
57,Xbox
58,Xbox 360
59,Xbox One
